Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
722016_12:27:53,7Awcmjqj,test_images/Larger/kochSnowflake.png,11,R9,28352,23449,17327,8552,4170,1512,378,168,42,
722016_12:28:5,7Awcmjqj,test_images/Larger/kochSnowflake.png,12,R9,29880,24896,18200,8720,4188,1512,378,168,42,
722016_12:28:16,7Awcmjqj,test_images/Larger/kochSnowflake.png,13,R9,31661,26391,19063,8791,4188,1512,378,168,42,
722016_12:28:28,7Awcmjqj,test_images/Larger/kochSnowflake.png,14,R9,33334,27909,19944,8913,4195,1512,378,168,42,
722016_12:28:39,7Awcmjqj,test_images/Larger/kochSnowflake.png,15,R9,35191,29576,20903,9020,4197,1512,378,168,42,
722016_12:28:51,7Awcmjqj,test_images/Larger/kochSnowflake.png,16,R9,37020,31194,21836,9111,4199,1512,378,168,42,
722016_12:29:2,7Awcmjqj,test_images/Larger/kochSnowflake.png,17,R9,38502,32411,22414,9176,4199,1512,378,168,42,
722016_12:29:14,7Awcmjqj,test_images/Larger/kochSnowflake.png,18,R9,40334,34057,23221,9230,4200,1512,378,168,42,
722016_12:29:25,7Awcmjqj,test_images/Larger/kochSnowflake.png,19,R9,41924,35271,23945,9264,4200,1512,378,168,42,
722016_12:29:36,7Awcmjqj,test_images/Larger/kochSnowflake.png,20,R9,43892,36991,24718,9283,4199,1512,378,168,42,
722016_12:29:47,7Awcmjqj,test_images/Larger/kochSnowflake.png,30,R9,60603,50444,29975,9427,4200,1512,378,168,42,
722016_12:29:57,7Awcmjqj,test_images/Larger/kochSnowflake.png,40,R9,76656,62460,33086,9446,4200,1512,378,168,42,
722016_12:30:7,7Awcmjqj,test_images/Larger/kochSnowflake.png,50,R9,92326,73266,34915,9450,4200,1512,378,168,42,
722016_12:30:17,7Awcmjqj,test_images/Larger/kochSnowflake.png,70,R9,121422,91165,36765,9450,4200,1512,378,168,42,
722016_12:30:26,7Awcmjqj,test_images/Larger/kochSnowflake.png,100,R9,160749,110629,37587,9450,4200,1512,378,168,42,
722016_12:30:34,7Awcmjqj,test_images/Larger/kochSnowflake.png,150,R9,216554,130487,37790,9450,4200,1512,378,168,42,
722016_12:30:42,7Awcmjqj,test_images/Larger/kochSnowflake.png,200,R9,260663,140706,37800,9450,4200,1512,378,168,42,
722016_12:30:49,7Awcmjqj,test_images/Larger/kochSnowflake.png,300,R9,324665,148682,37800,9450,4200,1512,378,168,42,
722016_12:30:55,7Awcmjqj,test_images/Larger/kochSnowflake.png,400,R9,364836,150683,37800,9450,4200,1512,378,168,42,
722016_12:31:1,7Awcmjqj,test_images/Larger/kochSnowflake.png,500,R9,389103,151089,37800,9450,4200,1512,378,168,42,
722016_12:31:6,7Awcmjqj,test_images/Larger/kochSnowflake.png,600,R9,403174,151179,37800,9450,4200,1512,378,168,42,
722016_12:31:11,7Awcmjqj,test_images/Larger/kochSnowflake.png,700,R9,411416,151197,37800,9450,4200,1512,378,168,42,
722016_12:31:18,7Awcmjqj,test_images/Larger/kochSnowflake.png,800,R9,415878,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:26,7Awcmjqj,test_images/Larger/kochSnowflake.png,900,R9,418104,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:31,7Awcmjqj,test_images/Larger/kochSnowflake.png,1000,R9,419143,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:35,7Awcmjqj,test_images/Larger/kochSnowflake.png,1100,R9,419683,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:39,7Awcmjqj,test_images/Larger/kochSnowflake.png,1200,R9,419899,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:43,7Awcmjqj,test_images/Larger/kochSnowflake.png,1300,R9,419965,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:49,7Awcmjqj,test_images/Larger/kochSnowflake.png,1400,R9,419989,151200,37800,9450,4200,1512,378,168,42,
722016_12:31:56,7Awcmjqj,test_images/Larger/kochSnowflake.png,1500,R9,419998,151200,37800,9450,4200,1512,378,168,42,
722016_12:32:2,7Awcmjqj,test_images/Larger/kochSnowflake.png,1700,R9,420000,151200,37800,9450,4200,1512,378,168,42,
722016_12:32:6,7Awcmjqj,test_images/Larger/kochSnowflake.png,1900,R9,420000,151200,37800,9450,4200,1512,378,168,42,
822016_0:29:21,TZSk0x3r,test_images/Larger/kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
822016_0:29:32,TZSk0x3r,test_images/Larger/kochSnowflake.png,1,R9,43681,36867,24539,9280,4200,1512,378,168,42,
822016_0:29:43,TZSk0x3r,test_images/Larger/kochSnowflake.png,2,R9,77123,62985,33048,9448,4200,1512,378,168,42,
